imagen,nombre,precio_dolares,precio_soles,link,stock
https://www.sercoplus.com/31225-home_default/mouse-inalambrico-bt-logitech-lift-verti.jpg,MOUSE INALAMBRICO/BT LOGITECH LIFT VERTICAL ERGONOMIC WHITE,66.4,257.63,https://www.sercoplus.com/mouse-bluetooth/13899-mouse-inalambrico-bt-logitech-lift-verti.html,4
https://www.sercoplus.com/32397-home_default/mouse-inalambrico-bt-logitech-lift-verti.jpg,MOUSE INALAMBRICO/BT LOGITECH LIFT VERTICAL ZURDO ERGONOMIC BLACK,66.4,257.63,https://www.sercoplus.com/mouse-bluetooth/15136-mouse-inalambrico-bt-logitech-lift-verti.html,2
https://www.sercoplus.com/28920-home_default/mouse-inalambrico-gaming-razer-orochi-v2.jpg,MOUSE INALAMBRICO GAMING RAZER OROCHI V2,67.0,259.96,https://www.sercoplus.com/mouse-gaming-wireless/13441-mouse-inalambrico-gaming-razer-orochi-v2.html,3
https://www.sercoplus.com/24851-home_default/mouse-logitech-anywhere-3-bluetooth-pale.jpg,MOUSE LOGITECH ANYWHERE 3 BLUETOOTH PALE GREY,69.0,267.72,https://www.sercoplus.com/mouse-bluetooth/12590-mouse-logitech-anywhere-3-bluetooth-pale.html,2
https://www.sercoplus.com/29692-home_default/teclado-bloetooth-logitech-mx-keys-mini.jpg,TECLADO BLUETOOTH LOGITECH MX KEYS MINI MULTI DEVICE PALE GREY SP,74.0,287.12,https://www.sercoplus.com/teclado-bluetooth/13634-teclado-bloetooth-logitech-mx-keys-mini.html,2
https://www.sercoplus.com/33064-home_default/mouse-gaming-logitech-g502-x-hero-25k.jpg,MOUSE GAMING LOGITECH G502 X HERO 25K,75.7,293.72,https://www.sercoplus.com/mouse-gaming/15299-mouse-gaming-logitech-g502-x-hero-25k.html,5
https://www.sercoplus.com/22620-home_default/mouse-inalambrico-gamer-hyperx-pulsefire.jpg,MOUSE INALAMBRICO GAMER HYPERX PULSEFIRE DART RGB,78.0,302.64,https://www.sercoplus.com/teclados-y-mouse/12183-mouse-inalambrico-gamer-hyperx-pulsefire.html,20
https://www.sercoplus.com/32538-home_default/mouse-gaming-logitech-g705-inalambrico-r.jpg,"MOUSE GAMING LOGITECH G705, INALAMBRICO/BT, RGB, WHITE",83.0,322.04,https://www.sercoplus.com/mouse-gaming-wireless/15171-mouse-gaming-logitech-g705-inalambrico-r.html,14
https://www.sercoplus.com/28407-home_default/mainboard-gigabyte-b560m-ds3h-v2-lga-12.jpg,"MAINBOARD GIGABYTE B560M DS3H V2, LGA 1200",90.3,350.36,https://www.sercoplus.com/socket-1200-/13310-mainboard-gigabyte-b560m-ds3h-v2-lga-12.html,20
https://www.sercoplus.com/23958-home_default/mouse-gaming-logitech-g502-ligthspeed-wi.jpg,MOUSE GAMING LOGITECH G502 LIGHTSPEED WIRELESS BLACK,91.8,356.18,https://www.sercoplus.com/teclados-y-mouse/10561-mouse-gaming-logitech-g502-ligthspeed-wi.html,10
https://www.sercoplus.com/24839-home_default/mouse-logitech-g-pro-lightspeed-wireless.jpg,MOUSE LOGITECH G PRO LIGHTSPEED WIRELESS HERO 25K RGB BLACK,94.0,364.72,https://www.sercoplus.com/teclados-y-mouse/12583-mouse-logitech-g-pro-lightspeed-wireless.html,6
https://www.sercoplus.com/28569-home_default/mouse-logitech-g-pro-ligthspeed-wirelees.jpg,MOUSE LOGITECH G PRO LIGTHSPEED WIRELEES HERO 25K RGB OF LEGENDS,94.0,364.72,https://www.sercoplus.com/mouse-gaming-wireless/13346-mouse-logitech-g-pro-ligthspeed-wirelees.html,8
https://www.sercoplus.com/32372-home_default/auricular-gaming-logitech-g435-mouse-g.jpg,AURICULAR GAMING LOGITECH G435 + MOUSE G305 WIRELESS,95.1,368.99,https://www.sercoplus.com/auriculares-gaming/15132-auricular-gaming-logitech-g435-mouse-g.html,5
https://www.sercoplus.com/20786-home_default/teclado-inalambrico-mx-keys-advanced-ill.jpg,TECLADO INALAMBRICO MX KEYS ADVANCED ILLUMINATED BLACK,97.2,377.14,https://www.sercoplus.com/kit-teclado-y-mouse-wireles/11627-teclado-inalambrico-mx-keys-advanced-ill.html,5
https://www.sercoplus.com/24783-home_default/mouse-razer-deathadder-v2-pro-wireless.jpg,MOUSE RAZER DEATHADDER V2 PRO WIRELESS HYPERSPEED,102.0,395.76,https://www.sercoplus.com/teclados-y-mouse/12563-mouse-razer-deathadder-v2-pro-wireless.html,1
https://www.sercoplus.com/26448-home_default/teclado-partido-inalambrico-logitech-erg.jpg,TECLADO PARTIDO INALAMBRICO LOGITECH ERGO K860,104.0,403.52,https://www.sercoplus.com/kit-teclado-y-mouse-wireles/12859-teclado-partido-inalambrico-logitech-erg.html,3
https://www.sercoplus.com/23842-home_default/mouse-inalambrico-gaming-logitech-g-pro.jpg,MOUSE INALAMBRICO GAMING LOGITECH G PRO SUPERLIGHT BLACK,107.0,415.16,https://www.sercoplus.com/teclados-y-mouse/12375-mouse-inalambrico-gaming-logitech-g-pro.html,10
https://www.sercoplus.com/28831-home_default/mouse-inalambrico-gaming-logitech-g-pro.jpg,MOUSE INALAMBRICO GAMING LOGITECH G PRO SUPERLIGHT WHITE,107.0,415.16,https://www.sercoplus.com/mouse-gaming-wireless/13418-mouse-inalambrico-gaming-logitech-g-pro.html,5
https://www.sercoplus.com/20613-home_default/mouse-gaming-logitech-g903-hero-ligthspe.jpg,MOUSE GAMING LOGITECH G903 HERO LIGHTSPEED WIRELESS BLACK,109.1,423.31,https://www.sercoplus.com/mouse-gaming/11621-mouse-gaming-logitech-g903-hero-ligthspe.html,6
https://www.sercoplus.com/33053-home_default/mouse-gaming-logitech-g502x-plus.jpg,MOUSE GAMING LOGITECH G502X PLUS,140.0,543.2,https://www.sercoplus.com/mouse-gaming-wireless/15296-mouse-gaming-logitech-g502x-plus.html,1
