imagen,nombre,precio_soles,precio_dolares,link,stock
https://cyccomputer.pe/45276-home_default/ssd-500gb-kingston-nv2-m2-2280-nvme-pcie-gen4-pnsnv2s500g.jpg,SSD 500GB KINGSTON NV2 M.2 2280 NVMe PCIe GEN4 (PN:SNV2S/500G),167.7,43.0,https://cyccomputer.pe/ssd-m2-2280-pcie/22121-ssd-500gb-kingston-nv2-m2-2280-nvme-pcie-gen4-pnsnv2s500g.html,10
https://cyccomputer.pe/44190-home_default/ssd-480gb-hp-s650-sata-iii-6gbs-25-pn345m9aa-abb.jpg,"SSD 480GB HP S650 SATA III 6GB/s 2.5"" (PN:345M9AA ABB)",175.5,45.0,https://cyccomputer.pe/ssd-25-sata/21635-ssd-480gb-hp-s650-sata-iii-6gbs-25-pn345m9aa-abb.html,1
https://cyccomputer.pe/30546-home_default/ssd-256gb-kingston-kc600-sata-60-25-pnskc600256g.jpg,"SSD 256GB KINGSTON KC600 SATA 6.0 2.5"" (PN:SKC600/256G)",175.5,45.0,https://cyccomputer.pe/ssd-25-sata/14477-ssd-256gb-kingston-kc600-sata-60-25-pnskc600256g.html,1
https://cyccomputer.pe/43787-home_default/ssd-250gb-western-digital-blue-sa510-sata-6gbs-25-pnwds250g3b0a.jpg,"SSD 250GB WESTERN DIGITAL BLUE SA510 SATA 6GB/s  2.5"" (PN:WDS250G3B0A)",187.2,48.0,https://cyccomputer.pe/ssd-25-sata/21535-ssd-250gb-western-digital-blue-sa510-sata-6gbs-25-pnwds250g3b0a.html,10
https://cyccomputer.pe/33867-home_default/ssd-240gb-externo-imation-express-pro-portable-white-usb-31-pnim240gpsdv01c1n2b.jpg,SSD 240GB EXTERNO IMATION EXPRESS PRO PORTABLE WHITE USB 3.1 (PN:IM240GPSDV01C1N2B),198.9,51.0,https://cyccomputer.pe/ssd-externo/18523-ssd-240gb-externo-imation-express-pro-portable-white-usb-31-pnim240gpsdv01c1n2b.html,4
https://cyccomputer.pe/43014-home_default/ssd-250gb-wd-blue-m2-2280-pcie-pnwds250g2b0b.jpg,SSD 250GB WD BLUE M.2 2280 PCIE (PN:WDS250G2B0B),202.8,52.0,https://cyccomputer.pe/ssd-m2-2280-pcie/16296-ssd-250gb-wd-blue-m2-2280-pcie-pnwds250g2b0b.html,1
https://cyccomputer.pe/43020-home_default/ssd-500gb-wd-blue-sn570-m2-2280-pcie-pnwds500g3b0c.jpg,SSD 500GB WD BLUE SN570 M.2 2280 PCIe (PN:WDS500G3B0C),228.15,58.5,https://cyccomputer.pe/ssd-m2-2280-pcie/21201-ssd-500gb-wd-blue-sn570-m2-2280-pcie-pnwds500g3b0c.html,1
https://cyccomputer.pe/23974-home_default/ssd-480gb-adata-ultimate-su650-sata3-25-pnasu650ss-480gt-r.jpg,"SSD 480GB ADATA ULTIMATE SU650 SATA3 2.5"" (PN:ASU650SS-480GT-R)",230.1,59.0,https://cyccomputer.pe/ssd-25-sata/13987-ssd-480gb-adata-ultimate-su650-sata3-25-pnasu650ss-480gt-r.html,1
https://cyccomputer.pe/43739-home_default/ssd-500gb-western-digital-blue-sa510-sata-6gbs-25-pnwds500g3b0a.jpg,"SSD 500GB WESTERN DIGITAL BLUE SA510 SATA 6GB/s  2.5"" (PN:WDS500G3B0A)",243.75,62.5,https://cyccomputer.pe/ssd-25-sata/21520-ssd-500gb-western-digital-blue-sa510-sata-6gbs-25-pnwds500g3b0a.html,2
https://cyccomputer.pe/44971-home_default/ssd-250gb-western-digital-black-sn770-m2-2280-nvme-pcie-gen4-pnwds250g3x0e-00b3n0.jpg,SSD 250GB WESTERN DIGITAL BLACK SN770 M.2 2280 NVMe PCIe GEN4 (PN:WDS250G3X0E-00B3N0),257.4,66.0,https://cyccomputer.pe/ssd-m2-2280-pcie/22084-ssd-250gb-western-digital-black-sn770-m2-2280-nvme-pcie-gen4-pnwds250g3x0e-00b3n0.html,1
